"parking_space_id","parking_id","internal_id","is_occupied","parking_spot_type","is_reserved"
"00144f36-97d3-4df7-a37d-ce8a68fe3bb3","1254a0d8-c662-4e51-85e5-9e9ca6056b0c",45,False,"REGULAR",False
"0017e905-02eb-464c-8469-c7c437940c1b","fca3bf97-b611-4a7f-ad34-2ff06c7ed4f1",15,False,"REGULAR",False
"0020749e-bc97-43df-a5b8-b46839090052","8ad306d4-2c70-4431-9b51-816798baeab1",14,False,"REGULAR",False
"0029c418-e495-41b8-bb8f-157a4590628b","a4f1dd6a-319c-457d-99d6-edcf97161036",10,False,"REGULAR",False
"00315514-0011-4038-9def-8fecc3371330","0a521036-e60f-4894-97bb-8b957ebed15b",28,False,"REGULAR",False
"0032da42-e4d9-427d-a097-719236f890e7","999b7346-86f4-4f08-b10f-6b539c031b16",66,False,"REGULAR",False
"0035b6f2-99c5-40c6-a4d9-8019295ddf1e","8249be45-84b8-406e-a361-f32260264fbc",10,False,"REGULAR",False
"0037a625-69ab-4a31-bfd7-f2d35adbe10f","de88a012-9caa-4d61-aa56-1c6d99440607",23,False,"REGULAR",False
"0037cb37-1bac-4282-a83a-e8899440b200","6b9e9b69-d7cd-4d5e-9911-1c0be8207d71",30,False,"REGULAR",False
"003a3d03-44c0-438b-a818-c6dd1881de25","458b3836-eb75-438d-a9e8-0380197d89f6",17,False,"ELECTRIC_VEHICLE",False
"003d6adc-6afe-43e5-ae8c-1c44f71f989c","b2ba6718-68d4-4524-aa14-5416eff38664",70,False,"MOTORCYCLE",False
"00458806-4d95-4466-b2b5-7707739a25e8","2880c8b5-1535-418b-b64b-aec52047a072",37,False,"REGULAR",False
"004889c1-5444-46a7-96fd-5db26e1158b5","7abe7551-f17a-4c58-a9eb-1817d9642282",70,False,"ELECTRIC_VEHICLE",False
"0049d8af-b553-43ae-b8d3-d813e9201822","93666720-2e31-4cf2-af8f-614a3927fa9d",65,False,"REGULAR",False
"004d3202-b3bc-41ce-9da6-2e35a2f94d14","2880c8b5-1535-418b-b64b-aec52047a072",19,False,"REGULAR",False
"004eb41b-82d3-4fef-ab97-60e85c67a60c","7fe7d37d-bd4e-43c2-bdcb-43fa6bdb56dc",7,False,"REGULAR",False
"00519883-1716-4d32-a45c-06fcad97e60a","431a1fd2-edfa-4d3e-ab9f-92cd9cbfeba4",53,False,"REGULAR",False
"0052cc2c-6ef3-44c3-95cf-f77f6203460e","1ec75a2f-5276-4c05-968b-25c24966e6b0",64,False,"REGULAR",False
"00548115-737e-47e7-9637-72280eca0c25","d2357397-2aef-4d31-baa9-983d9d8ce748",11,False,"REGULAR",False
"0054c174-13ed-425b-8c3f-74473db29802","596dafaa-2bb4-4f9b-9ef2-243bcf074a00",55,False,"REGULAR",False
"0055f02a-2b0c-4254-a9bb-55387afe878e","191f965c-6786-4cf0-8952-a220e022053f",44,False,"ELECTRIC_VEHICLE",False
"0063b4af-8e26-4807-a964-3e2328f86d27","fc8a78ab-2df9-48d3-ab26-f4d06c6694d4",66,False,"REGULAR",False
"006bc3d6-67b4-4d5d-be7f-3f4f9902361c","93666720-2e31-4cf2-af8f-614a3927fa9d",50,False,"REGULAR",False
"0073337a-e362-4a5d-9cc1-d544e4d99777","4f5e840f-654a-4805-ad2e-328e47c14fe6",2,False,"REGULAR",False
"0077e97e-5e57-4ecd-9fef-4f00427193f0","fea79473-5fb9-456e-bd7a-d364b12ddae7",18,False,"REGULAR",False
"00784115-0956-4067-9380-f2bec3451cbf","b18096c7-4bed-4542-8378-33ca53f96d2c",58,False,"MOTORCYCLE",False
"007d0837-2052-426f-aa4d-94934ce01b2e","af53ce5b-2e71-4d62-8e6e-bc3c60d6207d",57,False,"ELECTRIC_VEHICLE",False
"0083dc04-9f30-4948-beec-4d30cf62eeeb","c3e71b5e-3dfc-47fb-aff2-ba80002221fd",26,False,"REGULAR",False
"0086c412-d13b-4142-9cf7-0af1513f8332","dfde3bc4-8625-4abf-ba53-33993be12923",72,False,"REGULAR",False
"009b5b64-c7b9-4c57-a0f0-2b8a60c45006","cd9b1463-1b99-44a8-ae70-2cdee66b11fb",6,False,"REGULAR",False
"00a47f7d-8713-4838-b0d3-94af3a659f8a","6217c385-6c51-4f3c-be8d-b580df152032",35,False,"REGULAR",False
"00b94ab3-bbd5-4c6e-98ed-d843ffeeb0db","4a9c345c-b208-4434-a537-fedb417d97d5",35,False,"REGULAR",False
"00bb4e02-77d7-47af-aadc-ce7e3591bb3e","913a30f7-54d1-4b87-968e-4233e0d0fd43",8,False,"REGULAR",False
"00c5aa55-df7c-468a-8be2-40b341bab676","93666720-2e31-4cf2-af8f-614a3927fa9d",48,False,"REGULAR",False
"00c61620-98ae-472e-bced-cde8dc4776e5","d7991d9c-a778-4bca-a951-ee347efbabd3",21,False,"VIP",False
"00cb6ae9-a95b-4238-a03b-8de9a39156a9","2880c8b5-1535-418b-b64b-aec52047a072",67,False,"REGULAR",False
"00cf13f4-1f76-47c2-b51c-c78d35ec0d84","bf5e5d31-71fe-4113-bda1-bcd7ec840b75",46,False,"ELECTRIC_VEHICLE",False
"00ec9479-7c64-4177-8a64-6719feb44c6e","1e082260-4dda-4480-87e1-375e335e86ef",17,False,"REGULAR",False
"00ed473c-eb20-47d4-aefc-b01ceeb46b11","73f80e94-5ffe-4812-a3e7-66125d512b28",11,False,"REGULAR",False
"00f10898-6a76-434c-8111-5486558dbda6","fc8a78ab-2df9-48d3-ab26-f4d06c6694d4",91,False,"ELECTRIC_VEHICLE",False
"00f53193-df94-4479-952a-0ede0fbe9847","dfde3bc4-8625-4abf-ba53-33993be12923",65,False,"REGULAR",False
"00f6acdd-b098-4711-815b-d59236c717bd","56891f87-9bdb-4043-b763-da67bb0c042c",57,False,"REGULAR",False
"00ff459b-1f8e-46e5-9df4-28a098ce8724","4043ca83-2165-4d99-b174-a981f8b3da40",3,False,"REGULAR",False
"0104f68a-8c1b-4ab6-8233-453aaf6df13f","f8601925-469c-4464-90cf-5475835d9772",55,False,"MOTORCYCLE",False
